region,year,age_group,gender,ethnic_group,population,literacy_rate,employed,employment_rate
West,2018,45-64,Male,Group D,13565,68.2,15572,114.8
South,2010,15-24,Female,Group A,24894,73.57,26811,107.7
South,2014,25-44,Female,Group C,27301,92.54,5723,20.96
East,2019,15-24,Female,Group B,43146,97.14,20433,47.36
West,2018,65+,Male,Group B,34096,65.6,25155,73.78
West,2023,25-44,Male,Group B,29730,95.77,3963,13.33
East,2024,65+,Female,Group D,7670,84.62,19642,256.09
North,2013,15-24,Male,Group A,18906,95.91,26082,137.96
East,2022,45-64,Male,Group B,25178,79.18,2665,10.58
Central,2017,65+,Male,Group C,30468,96.31,4651,15.27
West,2015,0-14,Male,Group C,43017,93.38,16261,37.8
South,2020,45-64,Female,Group C,33155,60.53,215,0.65
Central,2024,45-64,Male,Group D,27587,68.36,4610,16.71
West,2012,15-24,Female,Group A,46484,65.45,19164,41.23
East,2013,15-24,Male,Group A,11549,79.6,5335,46.19
Central,2011,25-44,Female,Group B,7285,89.52,8148,111.85
West,2010,25-44,Female,Group A,42266,87.65,4989,11.8
North,2022,0-14,Male,Group C,5155,86.25,8802,170.75
North,2023,45-64,Female,Group C,18958,71.14,7432,39.2
South,2017,0-14,Female,Group D,25602,61.0,5035,19.67
West,2010,0-14,Male,Group C,7418,64.06,26266,354.08
North,2023,15-24,Female,Group A,3936,86.89,28581,726.14
East,2022,0-14,Male,Group C,21932,61.34,36311,165.56
West,2020,0-14,Female,Group B,25373,64.59,10969,43.23
East,2010,65+,Male,Group D,38140,73.26,16856,44.2
East,2013,25-44,Male,Group D,860,58.1,1019,118.49
North,2019,25-44,Male,Group A,45177,64.15,35583,78.76
West,2021,45-64,Male,Group C,5099,61.44,13348,261.78
Central,2019,25-44,Male,Group C,43436,95.91,6269,14.43
North,2024,45-64,Female,Group A,39999,63.24,5840,14.6
North,2015,65+,Female,Group A,35345,92.06,36952,104.55
West,2018,25-44,Male,Group B,14250,59.94,21474,150.69
West,2010,65+,Female,Group A,28487,92.4,7901,27.74
East,2016,25-44,Female,Group C,37959,80.78,19565,51.54
West,2019,25-44,Female,Group B,26665,91.54,3239,12.15
East,2020,65+,Male,Group D,24846,92.3,32115,129.26
North,2014,0-14,Male,Group C,4014,80.64,2687,66.94
South,2021,0-14,Female,Group D,25338,94.46,34326,135.47
Central,2024,0-14,Male,Group D,28059,80.17,27258,97.15
North,2017,0-14,Male,Group D,36187,85.64,28308,78.23
West,2023,25-44,Female,Group C,32465,72.89,8699,26.8
Central,2016,15-24,Male,Group D,16885,94.3,6331,37.49
South,2013,65+,Male,Group C,18817,90.44,36134,192.03
South,2013,15-24,Male,Group D,893,62.17,25184,2820.16
East,2015,15-24,Male,Group A,25381,79.78,1025,4.04
Central,2015,45-64,Male,Group A,46725,93.56,1391,2.98
East,2018,0-14,Female,Group C,33797,89.1,14907,44.11
North,2021,25-44,Male,Group D,28455,96.39,39753,139.7
Central,2014,0-14,Male,Group D,45479,64.95,28969,63.7
North,2017,0-14,Female,Group D,6995,70.8,7013,100.26
East,2014,15-24,Female,Group A,40221,76.81,26550,66.01
Central,2011,45-64,Male,Group D,21937,65.0,22225,101.31
East,2024,0-14,Female,Group D,2213,71.94,29192,1319.11
Central,2015,65+,Male,Group C,20928,78.11,17117,81.79
East,2018,65+,Female,Group D,1135,63.23,23094,2034.71
South,2022,0-14,Male,Group A,15693,66.04,34175,217.77
East,2012,15-24,Female,Group D,23503,60.37,25192,107.19
South,2010,15-24,Male,Group A,15133,85.68,1437,9.5
East,2010,25-44,Female,Group A,29728,70.55,5143,17.3
Central,2022,45-64,Male,Group B,42577,64.47,26719,62.75
Central,2012,15-24,Male,Group A,27230,76.81,26956,98.99
Central,2019,25-44,Male,Group B,49046,57.93,21420,43.67
West,2014,65+,Female,Group B,7945,94.71,28894,363.68
North,2012,65+,Female,Group D,45683,67.66,28450,62.28
Central,2018,65+,Male,Group B,14781,93.12,14142,95.68
South,2017,0-14,Male,Group C,7102,76.4,33427,470.67
Central,2012,45-64,Male,Group A,537,91.56,12969,2415.08
West,2018,25-44,Male,Group C,43092,65.62,16703,38.76
South,2024,45-64,Female,Group B,29369,62.54,10647,36.25
West,2022,0-14,Female,Group D,37043,91.52,8709,23.51
South,2015,25-44,Female,Group A,31576,64.16,23065,73.05
East,2022,25-44,Male,Group C,27130,87.09,16334,60.21
North,2016,15-24,Male,Group D,20969,69.82,16401,78.22
North,2013,45-64,Female,Group B,32799,87.17,19136,58.34
West,2013,45-64,Female,Group D,25594,94.03,13458,52.58
North,2021,15-24,Female,Group C,27317,97.21,21962,80.4
West,2022,65+,Female,Group D,11055,70.47,3428,31.01
West,2011,0-14,Male,Group C,5620,70.8,3610,64.23
West,2014,45-64,Male,Group D,15178,97.2,608,4.01
North,2017,15-24,Male,Group A,5215,92.05,5973,114.53
West,2016,25-44,Female,Group D,34662,56.94,36965,106.64
North,2016,15-24,Male,Group A,36137,79.66,9379,25.95
West,2015,65+,Female,Group C,32822,62.79,5817,17.72
Central,2012,0-14,Female,Group A,36944,97.74,2901,7.85
West,2014,65+,Female,Group D,36989,60.97,4107,11.1
South,2022,25-44,Female,Group A,38958,79.05,14041,36.04
West,2010,25-44,Female,Group C,39086,83.6,25530,65.32
East,2016,25-44,Male,Group D,33502,95.29,13607,40.62
West,2018,25-44,Male,Group A,3640,91.43,32399,890.08
South,2010,15-24,Male,Group A,9138,65.57,26486,289.84
South,2022,25-44,Female,Group B,46165,79.62,20059,43.45
North,2011,25-44,Male,Group A,17883,96.0,7016,39.23
Central,2012,15-24,Female,Group B,18218,86.64,16748,91.93
West,2012,25-44,Male,Group C,41593,84.6,27031,64.99
North,2017,65+,Female,Group B,11124,87.46,17568,157.93
Central,2016,65+,Female,Group C,21972,68.87,19245,87.59
West,2015,45-64,Male,Group A,22363,86.36,33585,150.18
East,2024,65+,Female,Group A,6590,65.01,12305,186.72
West,2019,0-14,Male,Group B,11877,73.41,24844,209.18
South,2019,0-14,Male,Group C,17995,93.27,5839,32.45
South,2020,0-14,Male,Group A,15370,55.82,30530,198.63
East,2013,15-24,Female,Group B,19800,72.82,11816,59.68
North,2018,65+,Female,Group B,2603,66.47,20780,798.31
Central,2010,0-14,Female,Group B,25695,63.54,32968,128.31
West,2020,45-64,Female,Group A,38393,91.06,27174,70.78
South,2024,15-24,Male,Group C,7090,84.95,30750,433.71
North,2011,45-64,Female,Group A,43480,59.84,24961,57.41
East,2024,65+,Male,Group D,42868,76.26,10901,25.43
South,2023,25-44,Male,Group D,32550,75.08,21022,64.58
East,2013,45-64,Female,Group A,3421,61.13,15170,443.44
West,2012,25-44,Female,Group C,5234,89.39,21392,408.71
Central,2010,15-24,Male,Group B,20257,70.77,36047,177.95
South,2014,45-64,Female,Group D,30828,87.76,23303,75.59
South,2016,45-64,Male,Group D,23638,63.26,29057,122.92
West,2011,15-24,Female,Group A,16537,68.55,17511,105.89
North,2014,15-24,Female,Group D,34104,59.09,21643,63.46
Central,2015,0-14,Male,Group D,12594,61.17,17144,136.13
South,2020,65+,Male,Group B,9528,92.98,34157,358.49
Central,2016,45-64,Male,Group B,44017,59.69,15174,34.47
South,2010,45-64,Female,Group C,15932,59.12,35336,221.79
Central,2016,15-24,Female,Group D,44319,95.44,26514,59.83
East,2013,15-24,Female,Group C,23591,82.77,30052,127.39
South,2017,65+,Male,Group C,16086,59.34,5153,32.03
Central,2022,15-24,Male,Group B,5812,96.78,24482,421.23
North,2013,25-44,Female,Group B,26473,61.33,11437,43.2
East,2015,25-44,Male,Group A,37090,87.95,37348,100.7
East,2018,25-44,Female,Group B,29473,56.5,28648,97.2
North,2014,25-44,Male,Group C,44890,81.86,31971,71.22
Central,2023,65+,Female,Group D,16599,78.51,2788,16.8
West,2021,45-64,Female,Group C,34343,63.94,15015,43.72
North,2013,25-44,Female,Group C,14563,82.66,6556,45.02
Central,2017,15-24,Male,Group C,29270,81.53,20269,69.25
North,2022,25-44,Male,Group B,27716,89.33,14895,53.74
North,2018,65+,Female,Group C,28160,92.66,20983,74.51
South,2013,15-24,Female,Group A,16883,76.93,1603,9.49
Central,2012,25-44,Female,Group D,10105,76.08,28527,282.31
West,2017,45-64,Female,Group B,31149,81.73,2485,7.98
South,2023,15-24,Female,Group C,37720,86.36,9062,24.02
North,2014,15-24,Female,Group A,33059,70.32,1928,5.83
North,2011,45-64,Male,Group D,45566,76.7,11630,25.52
North,2019,15-24,Male,Group C,12868,80.16,34217,265.91
Central,2018,25-44,Male,Group D,7928,97.5,33846,426.92
Central,2012,15-24,Male,Group B,16317,80.27,29122,178.48
South,2021,25-44,Female,Group B,2920,64.64,11743,402.16
West,2011,45-64,Female,Group A,19412,80.28,26763,137.87
South,2010,0-14,Female,Group B,4817,90.24,25753,534.63
East,2023,45-64,Male,Group A,24861,91.87,7778,31.29
North,2017,25-44,Male,Group C,28228,89.41,21463,76.03
North,2020,65+,Female,Group D,41680,93.19,10868,26.07
North,2012,45-64,Male,Group B,49589,69.39,17122,34.53
South,2016,65+,Male,Group D,31568,76.83,12432,39.38
South,2010,65+,Female,Group D,33495,88.52,9292,27.74
North,2010,25-44,Female,Group C,19221,66.37,34434,179.15
South,2024,25-44,Female,Group C,29464,70.98,18317,62.17
Central,2021,0-14,Male,Group B,32029,90.74,33458,104.46
Central,2018,15-24,Female,Group C,11956,88.11,31390,262.55
South,2024,45-64,Female,Group D,34223,96.76,23295,68.07
North,2021,25-44,Female,Group A,42740,97.83,18502,43.29
South,2017,45-64,Male,Group A,35246,65.35,10426,29.58
South,2021,65+,Male,Group A,18413,93.72,11103,60.3
South,2022,15-24,Female,Group B,13175,59.06,22609,171.61
East,2012,0-14,Female,Group C,32641,85.52,15085,46.21
Central,2015,45-64,Male,Group C,27489,64.46,6299,22.91
West,2020,15-24,Male,Group C,16628,67.91,26276,158.02
West,2012,0-14,Female,Group C,48936,95.69,9926,20.28
East,2022,45-64,Male,Group D,40713,66.32,9740,23.92
South,2021,15-24,Female,Group A,28611,83.95,8302,29.02
East,2013,25-44,Female,Group D,4784,62.66,12954,270.78
East,2010,45-64,Male,Group B,25993,59.02,36812,141.62
North,2014,15-24,Female,Group A,18085,69.59,33563,185.58
Central,2010,0-14,Female,Group A,30095,81.84,8530,28.34
West,2022,15-24,Male,Group D,7631,65.66,441,5.78
South,2010,25-44,Female,Group B,43882,67.91,18947,43.18
West,2019,45-64,Male,Group B,26697,85.48,334,1.25
West,2024,45-64,Female,Group A,34027,59.42,28035,82.39
Central,2020,45-64,Female,Group C,22457,74.22,20345,90.6
West,2020,25-44,Male,Group B,31436,95.49,35594,113.23
West,2023,0-14,Male,Group D,22045,72.07,31319,142.07
East,2016,45-64,Male,Group B,14184,73.67,31293,220.62
Central,2021,0-14,Male,Group A,42948,86.74,7379,17.18
North,2015,15-24,Male,Group C,21142,88.5,34478,163.08
South,2011,0-14,Male,Group B,4871,88.09,19380,397.86
West,2023,0-14,Female,Group A,13151,97.91,7107,54.04
South,2020,45-64,Male,Group B,2165,58.07,37480,1731.18
North,2021,65+,Female,Group C,7418,97.24,37270,502.43
South,2011,65+,Male,Group D,23507,95.86,4606,19.59
North,2020,25-44,Female,Group A,31908,91.64,30203,94.66
East,2016,25-44,Female,Group A,10694,74.53,19948,186.53
West,2010,65+,Male,Group C,25535,92.45,23352,91.45
North,2022,15-24,Female,Group A,24316,64.5,9791,40.27
South,2011,45-64,Female,Group C,23566,89.04,9942,42.19
West,2021,45-64,Female,Group A,11713,62.97,3611,30.83
East,2017,15-24,Male,Group C,49013,90.06,16666,34.0
West,2015,15-24,Male,Group B,23112,81.42,38664,167.29
North,2024,65+,Female,Group B,22711,59.22,29898,131.65
East,2023,25-44,Male,Group B,27366,93.5,10675,39.01
South,2011,15-24,Male,Group A,40904,79.85,31308,76.54
East,2016,25-44,Female,Group C,32099,83.22,19024,59.27
East,2013,0-14,Female,Group C,7844,67.19,5960,75.98
Central,2011,45-64,Male,Group D,3701,92.48,18366,496.24
East,2021,65+,Male,Group B,5252,78.44,32091,611.02
East,2015,45-64,Male,Group D,42843,73.11,25380,59.24
West,2020,65+,Female,Group B,10827,77.97,39394,363.85
South,2024,0-14,Male,Group D,49159,85.24,16288,33.13
West,2018,45-64,Male,Group B,46297,84.89,12725,27.49
West,2020,0-14,Male,Group C,6591,70.38,9122,138.4
North,2018,65+,Female,Group B,28108,71.57,14482,51.52
West,2023,15-24,Female,Group A,28785,79.18,35046,121.75
Central,2017,45-64,Female,Group B,23498,94.75,17561,74.73
Central,2024,0-14,Male,Group B,49134,87.05,29786,60.62
North,2012,45-64,Male,Group C,40789,71.79,1837,4.5
South,2012,45-64,Female,Group A,23443,69.49,14116,60.21
South,2011,45-64,Male,Group C,48678,77.52,31126,63.94
West,2014,25-44,Male,Group D,18507,92.41,19884,107.44
West,2023,0-14,Male,Group D,25757,55.37,36972,143.54
West,2021,0-14,Female,Group A,20018,85.55,17166,85.75
South,2023,45-64,Male,Group D,30284,67.66,25235,83.33
East,2013,15-24,Male,Group A,39088,63.96,10368,26.52
Central,2016,45-64,Female,Group B,44721,55.52,8675,19.4
East,2013,25-44,Male,Group D,21878,93.55,27673,126.49
East,2018,65+,Female,Group B,5196,94.23,35366,680.64
South,2021,25-44,Male,Group C,28495,57.64,34206,120.04
East,2021,15-24,Female,Group D,35135,77.44,3666,10.43
North,2011,45-64,Female,Group C,16223,61.56,22102,136.24
West,2020,0-14,Male,Group C,19707,87.62,5563,28.23
North,2023,45-64,Male,Group A,28024,83.61,36134,128.94
Central,2015,15-24,Female,Group C,29054,67.78,33747,116.15
West,2024,0-14,Male,Group A,12317,60.03,2334,18.95
East,2016,25-44,Female,Group A,668,90.74,26602,3982.34
Central,2013,65+,Male,Group A,43481,83.99,27914,64.2
West,2022,65+,Male,Group A,27270,55.29,20273,74.34
East,2015,45-64,Male,Group A,15723,82.0,14783,94.02
North,2016,25-44,Male,Group B,44720,89.84,37923,84.8
West,2013,15-24,Female,Group A,8527,80.4,23956,280.94
East,2024,65+,Female,Group D,16791,73.26,19974,118.96
North,2017,25-44,Male,Group A,43909,80.11,23834,54.28
Central,2018,45-64,Male,Group B,25939,81.65,31343,120.83
Central,2010,0-14,Male,Group D,22021,82.52,7449,33.83
Central,2016,45-64,Male,Group D,25215,96.58,31468,124.8
Central,2018,45-64,Male,Group B,22118,62.68,3996,18.07
South,2024,25-44,Female,Group D,29499,81.79,19118,64.81
West,2021,65+,Female,Group B,33492,63.08,18764,56.03
West,2019,25-44,Male,Group C,42017,64.03,30912,73.57
South,2014,0-14,Female,Group C,39850,83.78,28986,72.74
East,2021,25-44,Female,Group A,2073,94.39,15512,748.29
East,2011,15-24,Male,Group A,9077,61.84,26173,288.34
Central,2019,45-64,Female,Group A,9212,96.39,13407,145.54
North,2015,65+,Female,Group A,30448,68.73,1646,5.41
East,2021,0-14,Female,Group B,40031,71.83,1151,2.88
North,2021,45-64,Female,Group C,12664,61.61,1917,15.14
West,2016,25-44,Male,Group B,5717,81.48,38881,680.09
North,2011,15-24,Female,Group D,20026,80.65,11590,57.87
West,2011,25-44,Female,Group D,31770,74.02,21394,67.34
South,2019,45-64,Female,Group D,26909,75.47,15677,58.26
South,2024,0-14,Male,Group D,49540,81.79,18180,36.7
Central,2023,65+,Female,Group D,13234,80.09,31150,235.38
East,2021,45-64,Female,Group C,44621,71.09,6794,15.23
Central,2019,0-14,Female,Group B,36769,93.02,19800,53.85
West,2010,45-64,Male,Group D,14030,83.71,9298,66.27
Central,2013,15-24,Male,Group A,12894,63.83,12142,94.17
North,2016,25-44,Male,Group C,1999,68.76,14212,710.96
West,2023,65+,Male,Group A,28039,88.88,30902,110.21
South,2018,0-14,Male,Group C,10169,59.49,10546,103.71
East,2024,65+,Female,Group C,29062,87.26,14628,50.33
West,2012,65+,Male,Group A,22129,70.43,5955,26.91
West,2021,65+,Female,Group A,26246,78.72,6483,24.7
North,2020,0-14,Male,Group D,43787,67.06,1537,3.51
East,2016,0-14,Male,Group A,46507,97.42,21057,45.28
South,2016,65+,Male,Group B,18628,93.95,25136,134.94
West,2016,25-44,Female,Group C,2539,94.92,39794,1567.31
West,2011,45-64,Female,Group C,41579,62.95,27840,66.96
North,2015,65+,Female,Group D,4357,91.19,38635,886.73
Central,2011,15-24,Male,Group C,26396,78.02,16414,62.18
South,2015,65+,Male,Group A,5450,85.44,26731,490.48
East,2022,0-14,Male,Group C,23971,64.35,8213,34.26
West,2019,45-64,Male,Group C,15941,85.62,36012,225.91
West,2012,15-24,Male,Group A,13235,94.31,5218,39.43
South,2023,45-64,Male,Group A,22915,66.5,18817,82.12
Central,2011,45-64,Female,Group C,35011,65.03,28068,80.17
West,2021,15-24,Female,Group B,46551,59.49,31290,67.22
South,2024,65+,Male,Group A,42906,66.47,37009,86.26
North,2023,65+,Female,Group B,4116,78.04,2089,50.75
Central,2015,65+,Female,Group B,15883,90.81,24260,152.74
East,2011,25-44,Female,Group D,30256,66.99,10291,34.01
West,2014,65+,Male,Group B,4394,81.71,19239,437.85
South,2011,15-24,Male,Group D,39495,75.62,3918,9.92
North,2012,25-44,Male,Group B,43732,67.41,22119,50.58
East,2012,65+,Male,Group D,41115,76.95,9898,24.07
South,2015,25-44,Female,Group A,4781,62.22,34598,723.66
South,2015,15-24,Male,Group C,25147,82.5,21644,86.07
East,2019,65+,Male,Group C,30536,59.97,17575,57.56
North,2012,0-14,Male,Group D,19084,86.43,37558,196.8
North,2012,15-24,Female,Group A,35411,62.64,7066,19.95
Central,2022,45-64,Female,Group D,32808,97.92,28744,87.61
West,2021,45-64,Female,Group D,48048,90.42,5121,10.66
East,2022,15-24,Female,Group A,28833,69.79,32959,114.31
East,2010,45-64,Female,Group B,36449,73.33,22865,62.73
East,2016,15-24,Male,Group B,19759,66.15,25142,127.24
North,2022,0-14,Female,Group A,32294,87.99,6449,19.97
West,2017,15-24,Female,Group D,39788,71.37,993,2.5
Central,2011,65+,Male,Group C,13552,87.47,27879,205.72
South,2013,65+,Male,Group D,12771,55.79,14193,111.13
South,2019,25-44,Male,Group B,45767,60.83,33954,74.19
East,2016,45-64,Female,Group A,32675,70.69,25733,78.75
West,2017,45-64,Male,Group A,9415,59.68,3795,40.31
North,2010,15-24,Female,Group A,16622,80.85,2456,14.78
West,2013,45-64,Male,Group B,44699,57.19,12301,27.52
West,2015,65+,Female,Group D,7418,91.97,29608,399.14
North,2012,0-14,Female,Group A,41416,87.74,31146,75.2
East,2014,15-24,Female,Group C,30937,64.3,37144,120.06
West,2019,45-64,Female,Group A,46306,75.8,8161,17.62
South,2018,65+,Male,Group D,14305,74.43,15616,109.16
North,2020,25-44,Male,Group B,20098,86.17,38222,190.18
Central,2022,45-64,Female,Group C,41017,72.26,8629,21.04
East,2012,0-14,Male,Group C,3371,56.42,13983,414.8
North,2014,0-14,Female,Group A,37757,66.77,24490,64.86
Central,2017,45-64,Male,Group D,37875,75.05,34700,91.62
Central,2015,45-64,Male,Group A,46241,96.9,33782,73.06
West,2013,65+,Female,Group C,45379,92.89,29485,64.97
West,2017,45-64,Female,Group A,23648,62.8,1386,5.86
West,2020,25-44,Male,Group D,6334,86.1,18809,296.95
North,2012,65+,Female,Group B,43180,95.28,9376,21.71
North,2012,15-24,Male,Group C,3899,55.38,25573,655.89
East,2013,25-44,Male,Group D,22262,86.0,32155,144.44
West,2018,65+,Male,Group A,40872,74.75,21757,53.23
Central,2014,65+,Female,Group C,11457,84.25,28938,252.58
South,2017,0-14,Female,Group A,40999,81.04,25319,61.76
East,2015,65+,Male,Group A,28840,97.34,17103,59.3
North,2012,25-44,Female,Group B,27638,67.42,10938,39.58
East,2024,45-64,Female,Group A,16308,88.8,5241,32.14
East,2017,25-44,Male,Group A,28743,65.09,23454,81.6
East,2021,15-24,Female,Group D,2761,73.73,9450,342.27
East,2018,65+,Female,Group A,12309,96.94,27012,219.45
South,2017,65+,Male,Group B,18196,87.94,25888,142.27
West,2022,65+,Female,Group A,43324,68.58,19990,46.14
Central,2013,65+,Male,Group A,22391,81.63,1146,5.12
East,2023,0-14,Female,Group A,19625,57.14,36998,188.52
East,2023,0-14,Female,Group C,1497,66.45,8527,569.61
East,2022,45-64,Male,Group B,48423,85.89,1336,2.76
West,2020,65+,Male,Group C,6853,79.51,32115,468.63
North,2015,15-24,Female,Group B,19203,75.2,26138,136.11
North,2010,45-64,Male,Group B,36475,84.71,754,2.07
South,2013,65+,Male,Group D,9775,72.13,23621,241.65
North,2017,0-14,Female,Group C,20465,56.12,13433,65.64
East,2010,15-24,Male,Group B,32919,73.96,31093,94.45
East,2012,45-64,Female,Group B,49142,93.79,36371,74.01
East,2010,15-24,Female,Group D,36354,91.83,18838,51.82
South,2018,65+,Male,Group C,16473,72.59,1148,6.97
East,2011,25-44,Female,Group A,24050,55.96,32902,136.81
North,2018,15-24,Male,Group D,27378,82.36,24393,89.1
West,2022,15-24,Female,Group B,17605,86.87,7407,42.07
West,2013,0-14,Male,Group C,48138,67.65,9438,19.61
Central,2011,65+,Male,Group B,34422,75.5,7619,22.13
North,2013,15-24,Female,Group D,16529,97.65,20610,124.69
East,2021,65+,Male,Group D,40435,79.78,6156,15.22
West,2020,0-14,Male,Group C,33284,70.1,14825,44.54
North,2020,65+,Male,Group D,32101,81.98,23953,74.62
West,2019,0-14,Female,Group D,40365,62.74,7522,18.63
East,2015,0-14,Female,Group A,32045,63.57,2814,8.78
West,2024,45-64,Male,Group B,13665,94.77,25739,188.36
Central,2020,65+,Male,Group A,19116,65.29,3471,18.16
Central,2016,25-44,Female,Group A,12154,68.36,9229,75.93
West,2012,45-64,Female,Group C,18330,78.38,5878,32.07
North,2012,0-14,Female,Group D,16705,93.69,19772,118.36
North,2021,25-44,Male,Group B,42925,88.6,29295,68.25
North,2019,15-24,Female,Group B,12459,56.88,15771,126.58
West,2021,15-24,Male,Group B,22658,84.8,19918,87.91
North,2017,45-64,Female,Group D,12319,76.67,16066,130.42
East,2014,25-44,Male,Group B,36351,75.45,2398,6.6
Central,2013,65+,Female,Group B,43003,84.74,9607,22.34
East,2016,25-44,Male,Group D,7452,63.44,9272,124.42
North,2016,45-64,Female,Group C,24725,97.2,17338,70.12
East,2022,65+,Female,Group B,47905,82.75,5417,11.31
North,2018,65+,Male,Group D,42731,70.72,31460,73.62
West,2018,15-24,Female,Group A,5891,80.81,10611,180.12
East,2014,25-44,Female,Group D,14968,64.31,33338,222.73
West,2022,65+,Female,Group A,15591,82.26,34700,222.56
West,2021,45-64,Female,Group D,30737,56.21,5459,17.76
South,2022,15-24,Male,Group B,48232,69.67,29784,61.75
North,2017,65+,Male,Group C,9464,87.14,14316,151.27
Central,2019,25-44,Female,Group C,41182,89.74,22983,55.81
North,2010,15-24,Male,Group B,47744,65.88,21355,44.73
Central,2018,25-44,Male,Group A,27468,78.19,32589,118.64
North,2017,25-44,Male,Group D,40705,77.73,33383,82.01
West,2015,25-44,Male,Group B,11871,73.12,31248,263.23
East,2022,15-24,Male,Group D,43041,64.82,32321,75.09
East,2012,65+,Female,Group B,26181,85.24,27741,105.96
South,2012,0-14,Male,Group B,28785,65.85,36305,126.12
Central,2017,65+,Female,Group D,38471,94.17,21842,56.78
Central,2014,15-24,Male,Group C,15930,77.73,38025,238.7
Central,2019,0-14,Female,Group C,45730,92.43,39935,87.33
West,2020,0-14,Female,Group A,9533,67.5,34588,362.82
Central,2023,0-14,Female,Group D,20418,89.7,29120,142.62
East,2016,45-64,Male,Group A,18756,59.89,31227,166.49
West,2014,15-24,Male,Group B,49022,87.97,30680,62.58
North,2017,45-64,Female,Group A,31688,71.64,7586,23.94
Central,2019,0-14,Female,Group B,36588,75.21,37861,103.48
Central,2019,45-64,Male,Group D,15479,62.17,21680,140.06
North,2013,45-64,Male,Group D,3228,55.8,37824,1171.75
Central,2011,15-24,Female,Group D,2095,83.65,3855,184.01
North,2012,25-44,Male,Group D,33124,80.27,25068,75.68
West,2017,45-64,Male,Group A,32068,81.76,31329,97.7
East,2024,45-64,Male,Group B,2788,65.97,16663,597.67
North,2020,0-14,Male,Group C,40113,65.29,30280,75.49
South,2022,0-14,Male,Group D,40931,90.7,4508,11.01
North,2016,0-14,Male,Group D,29511,87.73,18446,62.51
Central,2022,65+,Female,Group B,17627,69.48,33586,190.54
West,2011,45-64,Female,Group C,18378,82.43,11670,63.5
West,2015,0-14,Female,Group D,7444,90.61,12388,166.42
North,2018,15-24,Female,Group C,12802,93.22,10869,84.9
East,2024,65+,Female,Group D,43448,55.25,11643,26.8
South,2013,25-44,Female,Group A,707,89.98,19829,2804.67
West,2018,45-64,Male,Group A,1583,70.07,27154,1715.35
Central,2011,45-64,Male,Group C,3811,85.89,7435,195.09
Central,2011,15-24,Female,Group B,23635,70.97,10114,42.79
East,2018,25-44,Female,Group B,41856,81.07,28747,68.68
West,2021,25-44,Female,Group A,31719,82.81,11793,37.18
North,2016,65+,Male,Group B,17092,72.41,28085,164.32
Central,2016,45-64,Male,Group B,46712,77.05,9491,20.32
East,2010,0-14,Male,Group B,24432,86.23,4332,17.73
West,2022,15-24,Male,Group C,19540,75.48,31883,163.17
West,2020,15-24,Female,Group C,6350,55.6,1044,16.44
West,2015,15-24,Female,Group B,32216,55.55,32069,99.54
West,2022,15-24,Female,Group A,13219,83.44,31716,239.93
West,2016,0-14,Female,Group B,22277,91.43,34611,155.37
Central,2020,0-14,Male,Group D,49785,88.77,34231,68.76
East,2023,65+,Male,Group A,17522,68.35,35902,204.9
West,2015,45-64,Female,Group C,34496,75.26,22723,65.87
South,2015,0-14,Male,Group D,28445,65.07,33183,116.66
South,2011,65+,Male,Group B,29288,97.53,4976,16.99
East,2015,25-44,Male,Group B,4519,66.2,18924,418.77
North,2013,45-64,Male,Group A,9982,72.9,14300,143.26
North,2018,0-14,Female,Group A,47373,84.29,34084,71.95
North,2024,25-44,Male,Group B,19080,92.67,14132,74.07
South,2021,65+,Female,Group B,10395,57.21,21918,210.85
North,2010,0-14,Male,Group A,14635,67.94,19840,135.57
Central,2022,0-14,Male,Group D,49513,79.47,19760,39.91
West,2017,25-44,Female,Group C,10887,81.59,6580,60.44
South,2014,0-14,Female,Group A,29636,58.01,29029,97.95
East,2010,15-24,Male,Group D,17859,83.56,29779,166.75
East,2013,0-14,Male,Group B,48172,77.71,30400,63.11
West,2010,45-64,Female,Group C,6621,90.59,19929,301.0
South,2015,25-44,Male,Group D,34296,64.55,28737,83.79
North,2011,45-64,Male,Group C,17409,63.39,24325,139.73
North,2024,65+,Female,Group C,2827,89.11,5855,207.11
Central,2014,45-64,Male,Group C,19430,85.27,2648,13.63
Central,2016,15-24,Male,Group D,35751,89.04,14385,40.24
North,2011,15-24,Male,Group D,36002,88.62,17411,48.36
East,2015,45-64,Male,Group B,32047,59.47,22480,70.15
East,2015,65+,Male,Group C,32188,66.98,34171,106.16
Central,2014,0-14,Female,Group A,42998,66.18,39587,92.07
West,2014,15-24,Male,Group A,43370,95.19,6998,16.14
North,2023,45-64,Female,Group A,7804,75.96,17428,223.32
Central,2012,45-64,Female,Group D,4549,59.78,35939,790.04
Central,2024,45-64,Male,Group B,15447,67.45,34236,221.64
North,2019,0-14,Female,Group D,9995,92.49,29509,295.24
North,2024,25-44,Male,Group C,25207,91.42,4944,19.61
East,2019,65+,Female,Group A,33660,93.71,14748,43.81
West,2020,25-44,Female,Group D,45044,71.71,3730,8.28
West,2021,65+,Female,Group A,44135,82.58,38053,86.22
North,2011,65+,Male,Group D,31206,66.96,9195,29.47
South,2016,45-64,Female,Group A,35734,62.78,24903,69.69
Central,2010,15-24,Female,Group C,34493,55.94,25727,74.59
Central,2015,45-64,Female,Group A,15487,64.61,35232,227.49
North,2015,0-14,Male,Group C,19589,80.99,31630,161.47
